-0.09898,0.16466668,Åland
-0.1009633254,-0.5873333332,Albania
-0.5365033254,-0.54,Andorra
0.4865,-0.6333333332,Armenia
-0.1830733254,-0.312,Austria
0.6142266746,-0.6246666668,Azerbaijan
0.0834866746,-0.084,Belarus
-0.4694666746,-0.2066666668,Belgium
-0.1342833254,-0.4853333332,Bosnia
-0.0176633254,-0.5326666668,Bulgaria
-0.1918,-0.408,Croatia
0.2215266746,-0.8333333332,Cyprus
-0.2282933254,-0.2366666668,Czech
-0.2731166746,-0.0133333332,Denmark
0.0156566746,0.1373333332,Estonia
-0.7336466746,0.24,Faroe Islands
0.0208133254,0.1666666668,Finland
-0.5170666746,-0.2853333332,France
0.4944333254,-0.5726666668,Georgia
-0.25368,-0.1393333332,Germany
-0.69993,-0.7946666668,Gibraltar
-0.0077466746,-0.7206666668,Greece
-0.6328933254,-0.262,Guernsey
-0.1184166746,-0.34,Hungary
-1.09501,0.326,Iceland
-0.7209533254,-0.1073333332,Ireland
-0.2754966746,-0.564,Italy
-0.62258,-0.2726666668,Jersey
-0.0688333254,-0.5333333332,Kosovo
0.00098,0.038,Latvia
-0.3461033254,-0.3546666668,Liechtenstein
0.0299366746,-0.0526666668,Lithuania
-0.4270233254,-0.256,Luxembourg
-0.0624866746,-0.56,Macedonia
-0.2275,-0.8046666668,Malta
0.11403,-0.36,Moldova
-0.3960833254,-0.4906666668,Monaco
-0.1140533254,-0.5426666668,Montenegro
-0.4555833254,-0.146,Netherlands
0.2215266746,-0.83266668,Cyprus
-0.31675,0.1566666668,Norway
-0.0728,-0.15,Poland
-0.7899733254,-0.6913333332,Portugal
0.04858,-0.4626666668,Romania
0.32228,-0.01,Russia
0.32228,-0.01,Soviet
0.32228,-0.01,Rus
0.32228,-0.01,Chelyabinsk
0.32228,-0.01,Yakutsk
0.32228,-0.01,Berezniki
0.32228,-0.01,Sochi
0.32228,-0.01,Magadan
0.32228,-0.01,Arkhangelsk
0.32228,-0.01,Kostroma
0.32228,-0.01,Volgograd
0.32228,-0.01,Yoshkar
0.32228,-0.01,Vologda
0.32228,-0.01,Moscow
0.32228,-0.01,Novosibirsk
-0.2770833254,-0.4826666668,San Marino
-0.0847,-0.4466666668,Serbia
-0.1652233254,-0.314,Slovakia
-0.2271033254,-0.398,Slovenia
-0.6602633254,-0.624,Spain
-0.2005266746,0.8886666668,Svalbard
-0.14301,0.1333333332,Sweden
-0.3948933254,-0.3633333332,Switzerland
0.2096266746,-0.6426666668,Turkey
0.1536966746,-0.2226666668,Ukraine
-0.5745833254,-0.18,England
-0.5745833254,-0.18,Scotland
-0.5745833254,-0.18,Wales
-0.27629,-0.564,Vatican
